GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.0605, 'grad_norm': 0.6027966737747192, 'learning_rate': 1.8335644937586686e-05, 'epoch': 0.25}
{'loss': 0.0017, 'grad_norm': 0.013348557986319065, 'learning_rate': 1.831715210355987e-05, 'epoch': 0.25}
{'loss': 0.0013, 'grad_norm': 0.010781700722873211, 'learning_rate': 1.8298659269533056e-05, 'epoch': 0.26}
{'loss': 0.1099, 'grad_norm': 14.587971687316895, 'learning_rate': 1.8280166435506244e-05, 'epoch': 0.26}
{'loss': 0.1248, 'grad_norm': 0.04311113432049751, 'learning_rate': 1.826167360147943e-05, 'epoch': 0.26}
{'loss': 0.0126, 'grad_norm': 8.491231918334961, 'learning_rate': 1.8243180767452613e-05, 'epoch': 0.26}
{'loss': 0.0008, 'grad_norm': 0.009703253395855427, 'learning_rate': 1.82246879334258e-05, 'epoch': 0.27}
{'loss': 0.0062, 'grad_norm': 6.844468116760254, 'learning_rate': 1.8206195099398986e-05, 'epoch': 0.27}
{'loss': 0.0056, 'grad_norm': 3.3911423683166504, 'learning_rate': 1.818770226537217e-05, 'epoch': 0.27}
{'loss': 0.0256, 'grad_norm': 0.005447485949844122, 'learning_rate': 1.8169209431345355e-05, 'epoch': 0.27}
{'loss': 0.1113, 'grad_norm': 0.014395717531442642, 'learning_rate': 1.815071659731854e-05, 'epoch': 0.28}
{'loss': 0.0553, 'grad_norm': 0.08095108717679977, 'learning_rate': 1.8132223763291725e-05, 'epoch': 0.28}
{'loss': 0.0941, 'grad_norm': 0.015701759606599808, 'learning_rate': 1.8113730929264913e-05, 'epoch': 0.28}
{'loss': 0.0436, 'grad_norm': 0.39746084809303284, 'learning_rate': 1.8095238095238097e-05, 'epoch': 0.29}
{'loss': 0.0186, 'grad_norm': 0.10722111165523529, 'learning_rate': 1.8076745261211282e-05, 'epoch': 0.29}
{'loss': 0.0077, 'grad_norm': 0.025173502042889595, 'learning_rate': 1.8058252427184467e-05, 'epoch': 0.29}
{'loss': 0.0979, 'grad_norm': 25.718406677246094, 'learning_rate': 1.803975959315765e-05, 'epoch': 0.29}
{'loss': 0.035, 'grad_norm': 0.0043175239115953445, 'learning_rate': 1.8021266759130836e-05, 'epoch': 0.3}
{'loss': 0.0012, 'grad_norm': 0.09687552601099014, 'learning_rate': 1.8002773925104024e-05, 'epoch': 0.3}
{'loss': 0.0466, 'grad_norm': 0.43727755546569824, 'learning_rate': 1.798428109107721e-05, 'epoch': 0.3}
{'loss': 0.0218, 'grad_norm': 0.019084816798567772, 'learning_rate': 1.7965788257050393e-05, 'epoch': 0.31}
{'loss': 0.0049, 'grad_norm': 0.036122918128967285, 'learning_rate': 1.794729542302358e-05, 'epoch': 0.31}
{'loss': 0.0085, 'grad_norm': 0.002776812296360731, 'learning_rate': 1.7928802588996766e-05, 'epoch': 0.31}
{'loss': 0.0331, 'grad_norm': 6.441798210144043, 'learning_rate': 1.791030975496995e-05, 'epoch': 0.31}
{'loss': 0.0281, 'grad_norm': 0.07560405880212784, 'learning_rate': 1.7891816920943136e-05, 'epoch': 0.32}
{'loss': 0.0015, 'grad_norm': 0.040571410208940506, 'learning_rate': 1.787332408691632e-05, 'epoch': 0.32}
{'loss': 0.0285, 'grad_norm': 0.015836048871278763, 'learning_rate': 1.7854831252889505e-05, 'epoch': 0.32}
{'loss': 0.0674, 'grad_norm': 0.005111364647746086, 'learning_rate': 1.7836338418862693e-05, 'epoch': 0.32}
{'loss': 0.0269, 'grad_norm': 8.44662094116211, 'learning_rate': 1.7817845584835878e-05, 'epoch': 0.33}
{'loss': 0.0575, 'grad_norm': 0.09196393191814423, 'learning_rate': 1.7799352750809062e-05, 'epoch': 0.33}
{'loss': 0.0668, 'grad_norm': 5.678788661956787, 'learning_rate': 1.778085991678225e-05, 'epoch': 0.33}
{'loss': 0.0209, 'grad_norm': 0.010258221067488194, 'learning_rate': 1.7762367082755435e-05, 'epoch': 0.34}
{'loss': 0.0685, 'grad_norm': 15.784850120544434, 'learning_rate': 1.774387424872862e-05, 'epoch': 0.34}
{'loss': 0.024, 'grad_norm': 0.06377196311950684, 'learning_rate': 1.7725381414701804e-05, 'epoch': 0.34}
{'loss': 0.0011, 'grad_norm': 0.02790064737200737, 'learning_rate': 1.770688858067499e-05, 'epoch': 0.34}
{'loss': 0.0096, 'grad_norm': 0.0044412086717784405, 'learning_rate': 1.7688395746648174e-05, 'epoch': 0.35}
{'loss': 0.0994, 'grad_norm': 15.254328727722168, 'learning_rate': 1.7669902912621362e-05, 'epoch': 0.35}
{'loss': 0.0348, 'grad_norm': 9.734814643859863, 'learning_rate': 1.7651410078594546e-05, 'epoch': 0.35}
{'loss': 0.0012, 'grad_norm': 0.010644636116921902, 'learning_rate': 1.763291724456773e-05, 'epoch': 0.36}
{'loss': 0.104, 'grad_norm': 0.025594761595129967, 'learning_rate': 1.761442441054092e-05, 'epoch': 0.36}
{'loss': 0.0245, 'grad_norm': 0.0620727501809597, 'learning_rate': 1.7595931576514104e-05, 'epoch': 0.36}
{'loss': 0.0151, 'grad_norm': 0.14851129055023193, 'learning_rate': 1.757743874248729e-05, 'epoch': 0.36}
{'loss': 0.0198, 'grad_norm': 8.76999568939209, 'learning_rate': 1.7558945908460473e-05, 'epoch': 0.37}
{'loss': 0.0034, 'grad_norm': 0.13717494904994965, 'learning_rate': 1.7540453074433658e-05, 'epoch': 0.37}
{'loss': 0.0643, 'grad_norm': 0.03139906004071236, 'learning_rate': 1.7521960240406843e-05, 'epoch': 0.37}
{'loss': 0.0247, 'grad_norm': 0.02177285961806774, 'learning_rate': 1.750346740638003e-05, 'epoch': 0.37}
{'loss': 0.04, 'grad_norm': 0.03164612874388695, 'learning_rate': 1.7484974572353215e-05, 'epoch': 0.38}
{'loss': 0.1264, 'grad_norm': 0.12690061330795288, 'learning_rate': 1.74664817383264e-05, 'epoch': 0.38}
{'loss': 0.03, 'grad_norm': 0.05889315530657768, 'learning_rate': 1.7447988904299585e-05, 'epoch': 0.38}
{'loss': 0.0913, 'grad_norm': 0.014240932650864124, 'learning_rate': 1.7429496070272773e-05, 'epoch': 0.39}
{'loss': 0.0485, 'grad_norm': 0.13951775431632996, 'learning_rate': 1.7411003236245957e-05, 'epoch': 0.39}
{'loss': 0.0464, 'grad_norm': 0.11584760248661041, 'learning_rate': 1.7392510402219142e-05, 'epoch': 0.39}
{'loss': 0.0236, 'grad_norm': 9.288268089294434, 'learning_rate': 1.7374017568192327e-05, 'epoch': 0.39}
{'loss': 0.1503, 'grad_norm': 0.042294975370168686, 'learning_rate': 1.735552473416551e-05, 'epoch': 0.4}
{'loss': 0.0025, 'grad_norm': 0.239056795835495, 'learning_rate': 1.7337031900138696e-05, 'epoch': 0.4}
{'loss': 0.1185, 'grad_norm': 0.0187851469963789, 'learning_rate': 1.7318539066111884e-05, 'epoch': 0.4}
{'loss': 0.0016, 'grad_norm': 0.18251323699951172, 'learning_rate': 1.730004623208507e-05, 'epoch': 0.4}
